"150","Doncaster & Scunthorpe (Book)","","","","","","","",""
"151","Leicester (Book)","","","","","","","",""
"152","Pak National Foods (Dublin)","Mr Aqil","00353 863 816 163 Mobile","00353 144 30 601","Unit 726","Northwest Business Park","Kilshane Drive","Dublin 15",""
"153","Pak Supermarket (Lozells) Ltd","","0121 554 2711","0121 551 3932","121-125 Lozells Road","Birmingham","B19 2TR","",""
"154","Pak Supermarket (Perrybar) Ltd","","0121 356 7863","0121 356 8786","317-319 Birchfield Road","Perry Bar","Birmingham","West Midlands","B20 3BX"
"155","Pak Supermarket (Capehill) Ltd","Akib","0121 558 7863","0121 558 6786","1 The Retail Park","Capehill","Smethwick","Birmingham","B66 4PH"
"156","Rochdale, Bury & Bolton (Book)","","","","","","","",""
"157","Bradford 7 (Book)","","","","","","","",""
"158","Mr Saleem","","07875 538 994","","","","","",""
"159","Bradford TUESDAY(Book)","","","","","","","",""
"160","Spicey Oriental Foods S.L","Anuj Kumar","0034 932 641 536","0034 932 633 691","Calle Cromo-87","L'Hospitalet De Llobregat","08907 Barcelona","Spain",""
"161","Pak Supermarket (Wellgate) Ltd","","01709 839 980","01709 838 970","174 Wellgate","Rotherham","South Yorkshire","S60 2PE",""
"162","Sheffield & Rotherham (Book)","","","","","","","",""
"163","Tesco Stores Ltd","","01992 808 260","01992 648 554 Inv Processing","Tesco Finance Service Centre","Commercial Payable Dept","Maes Y Cod Road","Cardiff","CF14 4TS"
"164","TRS Cash & Carry Limited (DO NOT USE)","Mannie Patel","020 8843 5425 a/cs","020 8574 5254","Southbridge Way","The Green","Southall","Middlesex","UB2 4AX"
"165","TRS International Foods Limited","Mannie Patel","0208 843 5425","020 8574 5254","Southbridge Way","The Green","Southhall","Middlesex","UB2  4AX"
"166","PAK Supermarket (Washwood) Ltd (OLD A/c)","Arif  (Accounts Dept)","0121 326 3080","0121 326 8385 (a/c's)","325 Washwood Heath Road","Washwood Heath","Birmingham","West Midlands","B8 2XJ"
"167","Pak Supermarket (Birmingham) Ltd","","0121 356 7863","0121 356 8786","317-319 Birchfield Road","Perry Barr","Birmingham","B20 3BX",""
"168","Wales, Cardiff & Newport (Book)","","","","","","","",""
"169","Al Halal (Worldwide) Gt.Horton","Sohail (Accounts Dept)","01274 572 661","01274 737 433","607 Great Horton Road","Bradford","BD7 4ED","",""
"170","W.S.A Asian Wholesale (CLOSED)","Mr. Shah / Mr Shahid","0039 0522 669 360","0039 0522 750 189","Via de Gasperi No.40","Campagnola Emelia","P.iva-01942710359","Italy","42012 RE"
"171","Worldwide Foods (Oldham) Ltd","Hamid (Accounts Dept)","0161 620 7215","0161 665 0419","169 Glodwick Road","Oldham","OL4 1BZ","",""
"172","Al Halal (Worldwide Bradford) Ltd","Sohail (Accounts Dept)","Mr Shabir 07915 387 897","01274 737 433","Woodhead Road","Bradford","West Yorkshire","BD7 1PD",""
"173","Nord WSA Srl","Mr Shah","0039 0522 669 360","0039 0522 750 189","Via A.De Gasperi, 40","Campagnola Emilia (Re)","ITALY","",""
"174","Wajid International Food","Shabir Hussain","0045 33 318 803","0045 36 17 27 89","Toftegaards Plads 10","2500 Valby","Denmark","",""
"175","Wajid Food APS","Rashad","0045 283 47 206","","Istedgade 138","1650 Coppenhagen","Denmark","",""
"176","Pak Supermarket (South Yorkshire) Ltd","Nadeem","Waseem 07791 076 308","","174 Wellgate","Rotherham","S60 2PE","",""
"177","Stoke & Wallsall (Book)","","","","","","","",""
"178","Jaldi Jaldi Food Production Ltd","","","","Unit 1-3 Orchard Business Park","Scout Road","Mytholmroyd","West Yorkshire","HX7 5HZ"
"179","Shandar Food Ltd","M Hussain","07932 669 219","020 8531 5990","Unit 34","Walthamstow Business Centre","Clifford Road","Walthamstow","E17 4SX"
"180","IQ Mega Store","Imran","","0208 902 2558","T/a Ary Superstore","2 Atlip Road","Alperton","Wembley","HA0 4LU"
"181","Bajwa Asian Foods Gmbh & Co . KG","Nadeem Bajwa","0049 6152 987 480","0049 6152 987 481","Pure Food","Odenwald str 7","64521 GorB-Gerau","Germany",""
"182","Aggarwal Fine Continental Foods","","","","Bern Zurichstrasse 16","4900 Langenthal","Switzerland","",""
"183","A.M.C Cash & Carry","","01274 740321","","St Andrews Workshop","Summerville Rd","Bradford","West Yorkshire","BD8 8DR"
"184","T G Foods Ltd","","0161 682 011","0161 684 7119","Units 1-3 Enterprise Park","Reliance Street","Newton Heath","Manchester","M40 3AL"
"185","Hyperama Wholesale","Salash Patel","01159 851 301","01159 350 342","Bull Close Road","Lenton Industrial Estate","Nottingham","NG7 2UT",""
"186","Natco Foods Limited","Mr Shin","0208 358 4724 a/cs","0208 358 8290 a/cs","Unit 2, Swan Business Park","Osier Way","Buckingham","MK18 1TB",""
"187","Birmingham Waqas Sunday (Book)","","","","","","","",""
"188","Halifax (Book)","","","","","","","",""
"189","Save Co Cash & Carry (LDS RD)","Zainab / Fairaz","01274 665 893 AC'S","01274 669 286","Ahmed Foods","1382-1388 Leeds Road","Bradford","BD3 7AE",""
"190","Super Toko Wholesalers","Farhan or Usman","0031 703 809 654","","20-34 Kempstraat","2572 GH Den Haag","The Netherlands","",""
"191","Costcutter (see book 109)","Ann","01274 724 893","","Robot Building","Killinghall Road","Bradford","",""
"192","Walsall (Book)","","","","","","","",""
"193","Master Traders Ltd","Gurinder Sahni","0208 904 0888","0208 904 0880","Unit 9G Osram Road","East Lane Business Park","East Lane, Wembley","Middlesex","HA9 7NG"
"194","Liverpool & Warrington (Book)","","","","","","","",""
"195","Birmingham (NEW) Book","","","","","","","",""
"196","Peterborough (Book)","","","","","","","",""
"197","Newcastle (Book)","","","","","","","",""
"198","Murtaza Mohammed","Murtaza Mohammed","","","Reiotia","TK 32 200","Greece","",""
"199","Shama Di Ibal Cash & Carry e.C.sas","","0039 0733 221 799","0039 0733 221 799","Via Toscana n.5/7","62010 Morrovaalle (MC)","Italy","",""
"200","Mohamed Mustafa & Samsuddin Co Pte Ltd","","","","Mustafa Centre","145 Syed Alwi Road","Singapore 207704","",""
"201","AIB Foods Limited","Heather","01902 450 548","01902 450 428","Amin House","Unit 5 culwell Trading Estate","Woden Road","Wolverhampton","WV10 0PG"
"202","Worldwide Foods (Rochdale) Ltd","Zahid (a/c's)","01706 647 602","01706 526 118","Lower Tweedale Street","Milkstone Road","Rochdale","Lancashire","OL11 1HG"
"203","Ahmed Foods","","01274 665 893","01274 669 283","Carter Gear Works","Thornbury Road","Bradford","BD3 8HE",""
"204","Cash Sales - Warehouse (Book)","","","","","","","",""
"205","Kashmir Crown Bakeries","","01274 735 967","01274 740 405","1-2 Worthington Street","Bradford","West Yorkshire","BD8 8ET",""
"206","Transfood Grosshandel","M.A. Abdul Hameed","049 211 43 71 890","049 211 43 71 89 29","Heltorfer Str. 20","40472 Dusseldorf","Germany","",""
"207","Kashmir Crown Baking Company INC","","00 1908 474 1470","00 1908 474 1159","710 West Lindon Avenue","Linden","New Jersey 07036","U.S.A",""
"208","Oldham 2 (Book)","","","","","","","",""
"209","Manchester 2 (Book)","","","","","","","",""
"210","One Stop StoresLtd","Cath","01543 363 000","01543 370 435","Invoice Matching Department","Apex Road","Brownhills","Walsall","WS8 7TS"
"211","Shama International","Zahoor Iqbal & Usman Sahib","0033 143 420 579","0033 153 170 925","65 Rue Baron Le Roy","75012 Paris","France","",""
"212","Spices 1 (Little Book)","","","","","","","",""
"213","Chatta Import / Export","Mr Chatta","0031 1026 22 851","0031 1026 23 005","Graafstroomstraat 61","3044 AP Rotterdam","Nederland","",""
"214","Shama UK Ltd","","","","Unit 5 Mushroom Farm","off Reynolds Avenue","Manor Park","London","E12 6JS"
"215","The Baking Company Llp","","01274 493 200","01274 492 277","Regal House","Wallis Street","Bradford","West Yorkshire","BD8 9RR"
"216","Squirrels UK Limited","","01708 344 666","01708 371 879","Unit 1, Spilsby Road","Harold Hill Industrial Estate","Romford","Essex","RM3 8SB"
"217","Bargain Lines Ltd","","","","23 Springfield Avenue","Batley","WF12 5RA","",""
"218","VS Compagn Cash & Carry","","0033 140 341 313","0033 153 267 204","197 Rue Du fbg","St. Denis","75010 Paris","France",""
"219","Spring Aps","","0045 88 80 60 37","0045 88 80 60 36","Dannevirkegade 27 2TV","1763 Copenhagen V","Denmark","",""
"220","AH Food Cash & Carry","","01 43 11 34 11","01 43 11 34 10","8 rue Marcelin Berthelot","93120 La Courneuve","France","",""
"221","Eastcoaster Ltd","Martin","0871 200 1975","","Unit 3 Balwant Business Park","Coxmoor Road","Sutton in Ashfield","Nottingham","NG17 5LA"
"222","Weigh 2 Save Ltd","","","","241 Whalley Range","Blackburn","BB1 6NN","",""
"223","Plushport Company","Raja Goshe","0208 558 0139","","1a Hainault Road","Leyton","London","E11 1ED",""
"224","Partner Foods Limited","Peter Steele","01924 359 757","01924 422 648","2 Kirk House","1 Kirkgate","Birstall","West Yorkshire","WF17 9HE"
"225","Luton (Book)","","","","","","","",""
"226","Watford (Book)","","","","","","","",""
"227","International Foods Ltd","Suleman","0793 964 5223","","Unit 28","Cromwell Industrial Estate","Staffa Road","Leyton, London","E10 7QZ"
"228","One Stop Stores Ltd DO NOT USE see 210","","01543 363 000","01543 370 435","Apex Road","Brownhills","Walsall","West Midlands","WS8 7TS"
"229","Co-operative Group (CWS) Ltd","Carol Rennie / Yvonne Wilson","0330 606 9408 acs","0161 832 0817","PO Box 546","550 Broadway","Salford","Manchester","M5 0EA"
"230","Medina Asian Food Co","","","00353 1872 8685","Unit 3","35-41 Parnell Street","Dublin","IRELAND",""
"231","Pak National Foods (Canada TOR)","","001 (416) 744 3748","001 (416) 744 1329","Unit 3","6880 Columus Road","Mississauga","Ontario, Canada","L5T 2G1"
"232","Van Sales Direct Ltd","Joe O Raw","01698 307400","01698 307500","30-32 Muir Street","Motherwell","ML1 1BN","",""
"233","Exotic Halal Foods","","0033 664 425 760","","47 Boulevard de la Muette","95140 Garges les Gonese","France","",""
"234","Bestway Wholesale Limited","Harish Patel","0208 453 1234","","Accounts Department","Abbey Road","Park Royal","London","NW10 7BW"
"235","Global Food Cash & Carry","","029 2038 4835","02920 727 189","Stadium Close","Penarth Road","Cardiff","CF11 8TS",""
"236","Surya Foods","","01255 553 652","01255 551 959","4 Harwich Industrial Estate","Europa Way","Parkeston, Harwich","Essex","CO12 4PT"
"237","Norbygata Dagligvare A/S","Farhan Ahmad Siddiqui","0047 2164 6362","0047 2217 4741","Toyengata 3-9","0190 Oslo","Norway","",""
"238","Birmingham (New) Book","","","","","","","",""
"239","A F Blakemore & Son Ltd","","0121 328 2111","0121 327 7366","Arden Industrial Estate","Arden Road","Saltley","Birmingham","B8 1DL"
"240","Nagyal Store Co","","","","Shop 30","G/F Shui King Builsing","138-184 Wo Yi Hop Road","Kwai Chung",""
"241","Save Co Bradford Ltd","","","","86 Preston Street","Bradford","BD7 1JP","",""
"242","Albidaya Al Jadida Ltd","","0021 891 393 1769","","1 Omar Almuktar Street","Benghazi","Libya","",""
"243","Spicetown Oy","","003584 082 91185","","Hameentie 5 A","00530 Helsinki","Finland","",""
"244","Sharif & Sons (DO NIOT USE SEE 110)","","","","Northern Division","Green Hill","Bradford","BD3 8EX",""
"245","Wm Morrison Supermarkets Plc","","0845 611 5000","0845 611 6751","Hilmore House","Gain Lane","Bradford","West Yorkshire","BD3 7DL"
"246","Bagel Nash Ltd","","","","Buslingthorpe Green","Leeds","LS7 2HG","",""
"247","B&M Retail Ltd","Chris Cowell","0151 728 5400","01517285406","The Vault","Dakota Drive","Estuary Commerce Park","Speke, Liverpool","L24 8RJ"
"248","Giant Export Services Ltd","Soma Pragalathan","020 8358 4724 ext 211","020 8358 8291","1a Cecil Road","Colindale","London","NW9 5EL",""
"249","UK Snacks Ltd","","020 8988 0806","020 8558 9885","Unit 2 & 3 Golden Business Park","Orient Way","Leyton","London","E10 7FE"
"250","Ahmed Bros Cash & Carry","","","","Ahmed House","Belle Vue Avenue","Manchester","M12 4AS",""
"251","J Sainsburys PLC","","020 7695 6000","020 7695 7610","33 Holborn","London","EC1N 2HT","",""
"252","Kundan Distribution Inc.","","001 909 673 1963","001 909 673 0384","1907 S Quaker Ridge Place","Ontario","California 91761","",""
"253","Wonderturn Ltd","Mr R D Shah","01707 322 777","01707 323 777","Unit 21 Tewin Court","Tewin Road","Welwyn Garden City","Hertfordshire","AL7 1AU"
"254","Al Aqsa Bakery Products","","07405 806512","","Al-Madina","69 South Road","Sparkbrook","Birmingham","B11 1EX"
"255","Ashiq Ltd","","","","Ashiq House","Sherbourne","Cheetham Hill","Manchester","M8 8LE"
"256","A&K Distributors (London)","","","","42 Station Road","East Ham","London","E12 5BT",""
"257","A&K Distributors (Middlesex)","","","","201 Beaconsfield Road","Southall","Middlesex","UB1 1DD",""
"258","Hope Line General Trading LLC","","00971 425 16484","00971 425 16494","Office #107 City Bay business Center","Al-Quds St.East Hor Al Anz","Daira","Dubai U.A.E","PO BOX 87411"
"259","Dave Whittaker Limited","","0161 320 7111","","Unit 10 Crown Point South Industrial Park","King Street","Denton","Manchester","M34 6PF"
"260","Oliver Kay Ltd","Tony","01204 385 463","01204 385 473","Produse House","Unit 8 Britannia Way","The Valley","Bolton","BL2 2HH"
"261","Falcon Cash & Carry","Pravin","01162 515 858","","82a Syston Street West","Leicester","LE1 2JU","",""
"262","B & R Direct Glasgow","Stephen Robertson","07760 405 373","","","","","",""
"263","Pak National Foods Ltd (BC)","","001 604 241 3156","","Unit 217","6901 72nd Street","Delta","BC","V4G 0A2"
"264","Shah Food Industry Belgium","","0032 5670 7041","","Pitantiestraat 116","Desselgem","8792 Belgium","",""
"265","Poundland Ltd","","0121 526 8275","0121 568 3401","Wellmans Road","Willenhill","West Midlands","WV13 2QT",""
"266","Masala Bazaar","","","","133-135 Manchester Road","Swindon","SN1 2AF","",""
"267","Lazzat Foods AB","","0046 73 509 9934","0046 836 3670","Fagerstagatan 17","163 53","Spanga","Sweden",""
"268","Freemans Confectionery Supplies Ltd","","01922 711 666","01922 710 666","Fryers Road","Leamore Enterprise Park","Bloxwich","Walsall","WS2 7LZ"
"269","Big John's","","","","Anzal Buildings","Priory Road","Aston","Birmingham","B6 7LG"
"270","Chisti International","","0033 967 39 58 32","","11 Rue Denis Papin","77680 Roissy En Brie","Paris","France",""
"271","SMC-Regal General Traiding F.Z.E","","00971 6 575 2400","","SMC Office C1 306G","PO BOX 64774","Ajman","UAE",""
"272","Batleys Limited","","020 8453 1234","020 8965 7982","29 kilbirnie Street","Glasgow","G5 8JB","",""
"273","The Punjab Kitchen Ltd","","0191 456 0456","0191 456 868","Eldon House","Eldon Street","South Shields","Tyne & Wear","NE33 5BZ"
"274","Craig Foods (NI) Ltd","Kathy Wylie","028 944 71950","028 944 71951","Unit 12","Craigstown Industrial Estate","Randalstown","Nortthern Ireland","BT41 2PT"
"275","Foodelites Australia PTY Ltd","","0061 2 9709 3663","0061 2 9791 3623","86 Rosendale Avenue","Greenacre NWS 2190","Australia","",""
"276","Adam International Ltd","","0141 429 4976","","76 Forth Street","Pollokshields","Glasgow","G41 2SS",""
"277","C & J Blackburn LLP","Karen","01924 465 958","01924 454 155","West End Mills","Watergate Road","Dewsbury","West Yorkshire","WF12 9QB"
"278","Low Price Supermarkets Ltd t/a Costless Supermarket","","003531 459 6006","003531 4596009","Plaza Hotel Complex","Belgard Road","Tallaght D24","Dublin","Ireland"
"279","Exotic City (SPRL)","","0032 422 80400","0032 435 80400","Avebue De L'Expansion, 1","4432 Alleur","Belgium","",""
"280","PA-KOR Trading Co Ltd","","0082 2 715 7224","0082 2 7119 2149","Room No. 1309","Kangbyun Hansinkoa 18","Mapo-daero 4da-gil","Mapo-gu, Seoul","Korea"
"281","Oasis Corporation Australia PVT Ltd","","0061 425 263 535","","10/79 Maffra street","Coolaroo 3048","Victoria","Melbourne",""
"282","Eurasia Ireland Distribution Ltd T/A Eurasia Supermarket","","003531 6166 106","","Unit 1","Fonthill Retial Park","Fonthill Road","Dublin 22","D22 CA34"
"283","Dennis Ruabon Commercial","","","","Binbrook Mills","Young Street","Bradford","BD8 9RE",""
"284","Eagre Ltd","Martin","01274 488 180","","3-5 Wharfe Street","Shipley","Bradford","BD17 7DW",""
"285","Kico Products","","","","Binbrook Mills","Young Street","Bradford","BD8 9RE",""
"286","Aroma Foods (Galway)","","00353 915 27822","","Unit 8 West City Office & Retail Park","Seamus Quirke Road","Galway","Ireland",""
"287","Green Supermarket Ltd","","0754 3388 332","","325 Washwood Heath Road","Washwood Heath","Birmingham","B8 2XJ",""
"288","Harrison Bailey","Martin","01274 367 022","","Porsan House","Young Street","Bradford","BD8 9RE",""
"289","KTM Europe Ltd","","","","Access elf Storage","1a Neptune Road","Harrow","HA1 4HY",""
"290","Best Halal Foods","","00353 868 234 858","","51 Coolmine Industrial Estate","Blanchardstown","Dublin 15","",""
"291","Pure Foods Company (PVT) Ltd","Usman","","","Old Pindi Das Road","Missan Koller","17km Sheikhupura Road","Lahore","Pakistan"
"292","Euro Foods","","0208 754 5500","","4F Swallow Fieldway","Hayes","Middlesex","UB3 1DQ",""
"293","F & A Distribution Services Ltd","","","","Unit G","Carlinghurst Business Park","George St West","Blackburn","BB2 1PQ"
"294","Rajput Foods","","0045 767 51 6315","","Foretaghusvagen 1","244 93 Kavlinge","Sweeden","",""
"295","Pro Audio Systems Limited","Brian Lumb","01274 497 261","","Blynk House","Young Street","Bradford","BD8 9RE",""
"296","The Cake Man UK Ltd","David James","01628 486 111","","Unit 1ALower Mount Farm","Long Lane","Cookham","Berkshire","SL6 9EE"
"297","Netto Ltd","David SuchBabowicz","","","Unit 5 West Gate Court","Silkwood Park","Wakefield","West Yorkshrie","WF5 9TT"
"298","Gill Ventures Ltd Trading as Halal Euro Food & Grocery","","00353 016268797","","Unit 2 Trinity Courtyard","Fonthill Business Park","Dublin 22","Ireland",""
"299","Sanipex UK Ltd","Paul Sackley","01924 233 977","01924 233 966","Unit1 Oakwell Park Trading Estate","Oakwell Way","Birstall","West Yorkshire","WF17 9LU"
"300","Booker","","","","","","","",""
"301","Star Food Impex GngH","Mr Asad Farooq","0049 40228 672281","0049 40228 672289","Holstenhofweg 41 A","D 22043","Hamburg","Germany",""
"302","Rotherham (Book)","","","","","","","",""
"303","Pak Supermerket (S.Yorls) Ltd CASH A/C","","","","","","","",""
"304","Leicester Bakery Ltd","","0116 253 9790","0116 251 3217","Sabat Building","Kent Street","Leicester","LE2 0AY",""
"306","Teatime Tasties Ltd","Jay Mackay","01274 391 798","01274 721 202","57-59 Ripley Street","Bradford","West Yorkshire","BD5 7TX",""
"307","Shah-Jalal Cash & Carry","","028 9066 0888","","2 Balmoral Link","Belfast","BT12 6QB","",""
"308","Nafees Bakers Limited","","01274 484 898","01274 494 810","210-212 Lilycroft Road","Bradford","West Yorkshire","BD9 5AJ",""
"309","Kashmir Food Store","","003 1626 016682","","Linden Lann 380","Amstelveen","Holland","",""
"310","Hemani Herbal Llc","","001 321 444 9666","","Unit 105","155 National Place","Longwood","FLORIDA","FL32750"
"311","Star Foods UK Ltd","","07958 187 687","","Unit 10 (Ex Mushroom Farm)","off Reynolds Avenue","London","E12 6JS",""
"312","Andana Foods Ltd t/a Alma Foods","","07496 033 526","","Montague Industrial Estate","2 Pegamoid Road","Edmonton","London","N18 2NG"
"313","Fix Speed HB","","0046 769 1784 56","","Avingegrand 11","16368 Spanga","Stockholm","Sweden",""
"314","SK Food and Drinks Ltd","Jagruti Rana","0121 622 2941","0121 622 2887","SK Buildings","Birchill Street","Digbeth","Birmingham","B12 0RP"
"315","Faizen (London) (Book)","","","","5 Merton Road","Broadfield","Crawley","London","RH11 9TW"
"316","The Cake Run","Jason O'Brien","07708726051","","Rear of Appletons Cash & Carry","17 Towcester Road","Bromley By Bow","London","E3 3ND"
"317","Prime Cash & Carry","","00353 8994 12050","","Unit 5A Park Road","Waterford","","",""
"318","London Food & Snack Ltd","","0203 784 9419","","32-36 Graman Road","Tottenham","London","N17 0EW",""
"319","Best Choice Direct Ltd","M Davey","07702 737 153","","Consort House","42 Bone Lane","Newbury","Berkshire","RG14 5RD"
"320","Iceland Foods Ltd","Samantha Jones","01244 830 100","","Second Avenue","Deeside Industrial Park","Deeside","Flintshire","CH5 2NW"
"321","Subhaan","","","","Centre De Stockage De Chambly","165 Rue Pierre","Curie","60230 Chambly","France"
"322","Serendib Global Foods Ltd","","0208 5788 959","","Unit 16 Brook Industrial Estate","Springfield Road","Hayes","Middlesex","UB4 0JZ"
"323","MPS Foods (HK) Ltd","","","","6 Floor, Flat A","Jing Ho Industrial Building","78-84 Wang Lung Street","Tsuen Wan","N.T, Hong Kong"
"325","Bristol (Book)","","","","","","","",""
"326","NRG Imports","","","","9 The Deanary","Wilbroke Road","Celbridge","Co-Kildare Ireland",""
"327","UK Cycling Events","","","","Unit 1b","Longtown Industrial Estate","Longtown","Cumbria","CA6 5TJ"
"328","Amir Khan Foundation","","","","Premier House","Prince Sstreet","Bolton","BL1 2NP",""
"329","Gujjar Foods","","0030 69400 60600","0030 22620 56806","Oinois Street 48","Schimatari 32009","Greece","",""
"330","Sona Food Traders","","0049 30 21 96 199 0","","Bulowstrabe 56-57","10783","Berlin","",""
"331","Royal","","","","3 St James's Rd","Gravesend","DA11 0HF","",""
"332","Katoomba Foods","","0061 3 8782 0653","0061 3 8738 8965","216-222 Sth Gippsland Hwy","Dandenong South","Victoria 3175","Australia",""
"333","Crystal Foods Inc","","","","Unit E","7351 Lockport Place","Lorton","Virginia","22079 USA"
"334","EuroFoods","","02087545500","","4F Swallowfield Way","Middlesex","Hays","UB3 1DQ",""
"335","Birmingham Snacks (Book)","","","","","","","",""
"336","Sam 99p Limited","","0208 536 6550","","67-71 Cranbrook Road","Ilford","Essex","IG1 4PG",""
"337","Leicester Snacks (Book)","","","","","","","",""
"338","Bradford Snacks (Book)","","","","","","","",""
"339","Poundworld","","01924 420260","01924 443582","Poundworld Retail Limited","Premier North Way","Normanton","West Yorkshire","WF6 1GY"
"340","Alraai Scandinavia AB","","0046 731544308","","Avingegrand 11","16368 Spanga","Sweden","",""
"341","Edinburgh (Book)","","","","","","","",""
"342","Dewsbury Snacks (Book)","","","","","","","",""
